ExpeimentId	ModelId	SplitId	ContainerId	AllowDuplicates	ml-class	NumFactors	NumIter	PosSampler	UnobservedRatio	UnobservedNegSampler	NumObservedNeg	NumUnobservedNeg	TrainTime	EvaluationTime	PureTrainTime	PureEvaluationTime	TotalTime	PureTotalTime	TestedCases	CandidatesMode	NumCandidates	CutOff	Recall	MRR	NDCG	EvalMethod
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.5	UniformFeedback	1875611	1874389	133001	4008	132430	4005	137009	136435	13442	TRAINING	100	10	0.2761	0.0929	0.1350	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.5	UniformFeedback	1875611	1874389	133001	4008	132430	4005	137009	136435	13442	TRAINING	100	20	0.4480	0.1047	0.1783	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.5	UniformFeedback	1875611	1874389	133001	4008	132430	4005	137009	136435	13442	TRAINING	1000	5	0.0230	0.0120	0.0147	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.5	UniformFeedback	1875611	1874389	133001	4008	132430	4005	137009	136435	13442	TRAINING	1000	10	0.0403	0.0143	0.0203	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.5	UniformFeedback	1875611	1874389	133001	4008	132430	4005	137009	136435	13442	TRAINING	1000	20	0.0707	0.0163	0.0279	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	749437	3000563	103518	1313	101920	1312	104831	103232	13442	TRAINING	100	5	0.2003	0.1013	0.1256	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	749437	3000563	103518	1313	101920	1312	104831	103232	13442	TRAINING	100	10	0.3351	0.1190	0.1688	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	749437	3000563	103518	1313	101920	1312	104831	103232	13442	TRAINING	100	20	0.5225	0.1318	0.2158	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	749437	3000563	103518	1313	101920	1312	104831	103232	13442	TRAINING	1000	5	0.0298	0.0143	0.0181	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	749437	3000563	103518	1313	101920	1312	104831	103232	13442	TRAINING	1000	10	0.0532	0.0173	0.0256	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.8	UniformFeedback	749437	3000563	103518	1313	101920	1312	104831	103232	13442	TRAINING	1000	20	0.0866	0.0196	0.0340	RBR-OPR
ml100k9	mlbprfm	ml100k-ml-0.75	ml100k-ml	False	MultiLevelBPRFM	10	50	DynamicLevel	0.6	UniformFeedback	1501279	2248721	125555	1371	125043	1371	126926	126414	13442	TRAINING	100	5	0.1644	0.0835	0.1034	RBR-OPR
